id,name,division,district,category
001,NAVUCA AOG,CENTRAL,TAILEVU NORTH,SMALL
002,UTTERMOST AOG,CENTRAL,LOWER NAITASIRI,SMALL
003,MATAMAIVERE AOG,CENTRAL,MID TAILEVU,SMALL
004,NEW GATE AOG,CENTRAL,LOWER NAITASIRI,SMALL
005,NAVUNIYASI AOG,CENTRAL,MID NAITASIRI,SMALL
006,WAIBALAVU AOG,CENTRAL,MID NAITASIRI,SMALL
007,BEULAHLAND AOG,CENTRAL,NASINU,SMALL
008,SAVURA AOG,CENTRAL,SUVA,SMALL
009,FAITH FIRST AOG,CENTRAL,TAILEVU SOUTH,SMALL
010,MOUNT CARMEL AOG,CENTRAL,ENGLISH,SMALL
011,NARROW GATE AOG,CENTRAL,LOWER NAITASIRI,SMALL
012,LOMAIVUNA MISSION AOG,CENTRAL,MID NAITASIRI,SMALL
013,TAWAKELEVU AOG,CENTRAL,REWA,SMALL
014,HOUSE OF REFUGE AOG,CENTRAL,ENGLISH,SMALL
015,MIRACLE CENTRE AOG,CENTRAL,ENGLISH,SMALL
016,BAU WORD OF LIFE AOG,CENTRAL,TAILEVU SOUTH,SMALL
017,NACOKAIKA AOG,CENTRAL,LOWER NAITASIRI,SMALL
018,NAMEKA AOG,CENTRAL,LOWER NAITASIRI,SMALL
019,LUTU AOG,CENTRAL,UPPER NAITASIR,SMALL
020,SHALOM WORSHIP AOG,CENTRAL,ENGLISH,SMALL
021,CROSSWAY MISSION AOG,CENTRAL,LOWER NAITASIRI,SMALL
022,WAIDINA AOG,CENTRAL,MID NAITASIRI,SMALL
023,NAIVURUVURU AOG,CENTRAL,MID TAILEVU,SMALL
024,DAYSPRING AOG,CENTRAL,NASINU,SMALL
025,JERUISALEMI AOG,CENTRAL,TAILEVU SOUTH,SMALL
026,MOUNT OF OLIVES AOG,CENTRAL,LOWER NAITASIRI,SMALL
027,KIUVA AOG,CENTRAL,TAILEVU SOUTH,SMALL
028,NABULI AOG,CENTRAL,REWA,SMALL
029,NALIDI AOG,CENTRAL,TAILEVU NORTH,SMALL
030,VEISARI RABI AOG,CENTRAL,ENGLISH,SMALL
031,PEACE CHAPEL SUVA AOG,CENTRAL,HINDI,SMALL
032,LIVING WORDAOG,CENTRAL,SERUA,SMALL
033,UCIWAI AOG,CENTRAL,LOWER NAITASIRI,SMALL
034,WAIBASAGA AOG,CENTRAL,UPPER NAITASIR,SMALL
035,NATOAIKA AOG,CENTRAL,LOWER NAITASIRI,SMALL
036,MATASAMA AOG,CENTRAL,MID TAILEVU,SMALL
037,NABUKUNIVATU AOG,CENTRAL,UPPER NAITASIR,SMALL
038,DIBULU AOG,CENTRAL,NASINU,SMALL
039,TACIRUA AOG,CENTRAL,HINDI,SMALL
040,NALOTO AOG,CENTRAL,MID TAILEVU,SMALL
041,PACIFIC HARBOUR AOG,CENTRAL,SERUA,SMALL
042,PECELI AOG,CENTRAL,TAILEVU NORTH,SMALL
043,WAIDRODRO AOG,CENTRAL,LOWER NAITASIRI,SMALL
044,LIGHTHOUSE AOG,CENTRAL,SUVA,SMALL
045,LIVING FAITH AOG,CENTRAL,TAILEVU SOUTH,SMALL
046,EMMANUEL AOG,CENTRAL,HINDI,SMALL
047,BAUTIKINA AOG,CENTRAL,MID TAILEVU,SMALL
048,LOGANI BETHEL AOG,CENTRAL,MID TAILEVU,SMALL
049,LORD OF ALL AOG,CENTRAL,MID TAILEVU,SMALL
050,VERATA AOG,CENTRAL,MID TAILEVU,SMALL
051,VATUWAQA AOG,CENTRAL,SUVA,SMALL
052,NADERA AOG,CENTRAL,NASINU,MEDIUM
053,WAIDRA AOG,CENTRAL,LOWER NAITASIRI,MEDIUM
054,NOCO AOG,CENTRAL,REWA,MEDIUM
055,ROCK -NAMARA AOG,CENTRAL,MID TAILEVU,MEDIUM
056,TAILEVU NORTH AOG,CENTRAL,TAILEVU NORTH,MEDIUM
057,TOKATOKA AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
058,AMAZING GRACE AOG,CENTRAL,HINDI,MEDIUM
059,TOVATA AOG,CENTRAL,NASINU,MEDIUM
060,CHRISTIAN REVIVAL AOG,CENTRAL,HINDI,MEDIUM
061,FAITH ASSMBLY AOG,CENTRAL,HINDI,MEDIUM
062,NARERE AOG,CENTRAL,HINDI,MEDIUM
063,WAICOKA AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
064,VUGALEI AOG,CENTRAL,MID TAILEVU,MEDIUM
065,GLORYLAND AOG,CENTRAL,NASINU,MEDIUM
066,NADAWA AOG,CENTRAL,HINDI,MEDIUM
067,WAKETE AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
068,KORONIVIA AOG,CENTRAL,HINDI,MEDIUM
069,VICTORY AOG,CENTRAL,HINDI,MEDIUM
070,NAMAQUMAQUA AOG,CENTRAL,SERUA,MEDIUM
071,JORDAN AOG,CENTRAL,HINDI,MEDIUM
072,SAVUTOA AOG,CENTRAL,LOWER NAITASIRI,MEDIUM
073,GRACE SAMARIAN AOG,CENTRAL,HINDI,MEDIUM
074,CARE MINISTRY AOG,CENTRAL,ENGLISH,MEDIUM
075,UPPER ROOM AOG,CENTRAL,NASINU,MEDIUM
076,NEIGHBOURHOOD AOG,CENTRAL,LOWER NAITASIRI,MEDIUM
077,SOUTH CENTRAL AOG,CENTRAL,SERUA,MEDIUM
078,FOUNTAIN OF LIFE AOG,CENTRAL,NASINU,MEDIUM
079,KUKU AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
080,GARDEN OF EDEN AOG,CENTRAL,REWA,MEDIUM
081,LASELEVU AOG,CENTRAL,UPPER NAITASIR,MEDIUM
082,FLAGSTAFF ASSEMBLY OF GOD,CENTRAL,HINDI,MEDIUM
083,NAKELO AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
084,ALIVE CHRISTIAN AOG,CENTRAL,NASINU,MEDIUM
085,TONIA AOG,CENTRAL,TAILEVU NORTH,MEDIUM
086,COASTAL SUVA AOG,CENTRAL,SUVA,MEDIUM
087,GRACE MISSION AOG,CENTRAL,NASINU,MEDIUM
088,BAULEVU AOG,CENTRAL,LOWER NAITASIRI,MEDIUM
089,NAISOGOVAU AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
090,BETHANY AOG,CENTRAL,HINDI,MEDIUM
091,IMANUELI CHRISTIAN CENTRE,CENTRAL,REWA,MEDIUM
092,KERSOMI AOG,CENTRAL,REWA,MEDIUM
093,VUNANIU AOG,CENTRAL,SERUA,MEDIUM
094,NEW LIFE AOG,CENTRAL,TAILEVU SOUTH,MEDIUM
095,GREAT COMMISSION APG,CENTRAL,SUVA,MEDIUM
096,ALPHA & OMEGA AOG,CENTRAL,SERUA,MEDIUM
097,LIGHTHOUSE AOG,CENTRAL,HINDI,MEDIUM
098,NASARECI AOG,CENTRAL,LOWER NAITASIRI,MEDIUM
099,FAMILIES FOR CHRIST AOG,CENTRAL,NASINU,MEDIUM
100,JESUS DISPENSARY AOG,CENTRAL,NASINU,MEDIUM
101,INNER CITY AOG,CENTRAL,ENGLISH,MEDIUM
102,NAIMASIMASI AOG,CENTRAL,MID TAILEVU,MEDIUM
103,VUNIBAU AOG,CENTRAL,SERUA,MEDIUM
104,JORDAN AOG,CENTRAL,SUVA,MEDIUM
105,WAIQANAKE AOG,CENTRAL,SUVA,MEDIUM
106,MALABE AOG,CENTRAL,TAILEVU NORTH,LARGE
107,TACILEKA AOG,CENTRAL,TAILEVU NORTH,LARGE
108,LUTU AOG,CENTRAL,MID NAITASIRI,LARGE
109,PEACE CHAPEL-NAVUA AOG,CENTRAL,HINDI,LARGE
110,BUREIWAI AOG,CENTRAL,TAILEVU NORTH,LARGE
111,WAINIBUKA CHRISTIAN CENTRE,CENTRAL,TAILEVU NORTH,LARGE
112,POWERHOUSE AOG,CENTRAL,UPPER NAITASIR,LARGE
113,NABAITAVO AOG,CENTRAL,MID NAITASIRI,LARGE
114,NAQIO AOG,CENTRAL,REWA,LARGE
115,MATATA AOG,CENTRAL,SUVA,LARGE
116,NABORO AOG,CENTRAL,SUVA,LARGE
117,TRINITY AOG,CENTRAL,ENGLISH,LARGE
118,LIFE CHURCH AOG,CENTRAL,HINDI,LARGE
119,LIGHTHOUSE AOG,CENTRAL,NASINU,LARGE
120,LAMI AOG,CENTRAL,SUVA,LARGE
121,CROSSWAY COMMUNITY AOG,CENTRAL,TAILEVU SOUTH,LARGE
122,CORNERSTONE AOG,CENTRAL,TAILEVU SOUTH,LARGE
123,MATADAWA AOG,CENTRAL,TAILEVU SOUTH,LARGE
124,MATAINOCO AOG,CENTRAL,TAILEVU SOUTH,LARGE
125,SEREA AOG,CENTRAL,MID NAITASIRI,LARGE
